SAMPID	SMATSSCR	SMCENTER	SMPTHNTS	SMRIN	SMTS	SMTSD	SMTSISCH	SMNABTCH	SMNABTCHT	SMNABTCHD	SMGEBTCH	SMGEBTCHD	SMGEBTCHT	SME2MPRT	SMCHMPRS	SMNTRART	SMNUMGPS	SMMAPRT	SMEXNCRT	SM550NRM	SMGNSDTC	SMUNMPRT	SM350NRM	SMRDLGTH	SMMNCPB	SME1MMRT	SMSFLGTH	SMESTLBS	SMMPPD	SMNTERRT	SMRRNANM	SMRDTTL	SMVQCFL	SMMNCV	SMTRSCPT	SMMPPDPR	SMCGLGTH	SMGAPPCT	SMUNPDRD	SMNTRNRT	SMMPUNRT	SMEXPEFF	SMMPPDUN	SME2MMRT	SME2ANTI	SMALTALG	SME2SNSE	SMMFLGTH	SME1ANTI	SMSPLTRD	SMBSMMRT	SME1SNSE	SME1PCTS	SMRRNART	SME1MPRT	SMNUM5CD	SMDPMPRT	SME2PCTS
GTEX-PLZ5-0626-SM-2M48N	0	B1	2  ~12x7mm pieces; one is ~30% epicardial fat	8.1	Heart	Heart - Left Ventricle	0-3 hours	BP-19181	RNA isolation_PAXgene Tissue miRNA	10/03/2011	GTEx_Batch4Affy_Jan2012	02/07/2012	Affymetrix Expression																																													
GTEX-PLZ5-0726-SM-2I5F9	1	B1	2  ~6.5x5mm pieces.  Well preserved; no inflammation; pronounced emphasymatous changes	7.8	Lung	Lung	0-3 hours	BP-19181	RNA isolation_PAXgene Tissue miRNA	10/03/2011	LCSET-1168_6	04/02/2012	TrueSeq.v1	0.5195256	122077	0.96804494	690	0.5888358	0.8233407	0.31783456	25480	0.71393776	0.7370525	76	55.867367	0.004306809	160	72505706	84934533	0.031677466	907711	144241475	45026718	0.56429136	140894	36414061	47361	0.024980748	8375651	0.14470424	0.42039207	0.48481247	60637973	0.006858078	15701442	5471036	16091745	153	17853113	13687755	0.005462383	17922660	50.0972	0.006292996	0.584437	863	0.2860622	50.613815
GTEX-PLZ5-0726-SM-2M48O	1	B1	2  ~6.5x5mm pieces.  Well preserved; no inflammation; pronounced emphasymatous changes	7.8	Lung	Lung	0-3 hours	BP-19181	RNA isolation_PAXgene Tissue miRNA	10/03/2011	GTEx_Batch4Affy_Jan2012	02/07/2012	Affymetrix Expression																																													
GTEX-PLZ5-0826-SM-3P5ZW	1	B1	6   ~8x4mm pieces	7.1	Esophagus	Esophagus - Muscularis	0-3 hours	BP-19181	RNA isolation_PAXgene Tissue miRNA	10/03/2011	LCSET-2386	12/16/2012	TrueSeq.v1	0.8904672	158225	0.9751622	721	0.91867816	0.87246186	0.31518555	24675	0.72570544	0.737438	76	59.551144	0.0029566814	396	90633362	114542997	0.02459629	1165780	124682396	15986004	0.6142378	138648	54210553	56046	0.029327564	0	0.10270036	0.66668975	0.8015117	83124482	0.0029642899	23750938	5772032	24135424	343	25400685	19812030	0.002960369	25496888	50.09451	0.009349996	0.94688904	856	0.2742945	50.40146
GTEX-PLZ5-0926-SM-3TW8L	1	B1	4  ~ 3x2.5mm pieces; mucosae is ~10 of specimen thickness	9.2	Esophagus	Esophagus - Mucosa	0-3 hours	BP-19181	RNA isolation_PAXgene Tissue miRNA	10/03/2011	LCSET-2622	01/26/2013	TrueSeq.v1	0.9359727	159018	0.9731861	703	0.9437641	0.8602707	0.3400076	24991	0.6920594	0.73667926	76	54.022923	0.002622821	300	72419012	111755079	0.02660297	1582369	118414204	15473042	0.6082324	139038	54351288	47921	0.024586938	0	0.11291537	0.6531408	0.81189257	77341154	0.002769941	23947266	6604189	24199816	325	24396445	21469224	0.0026957735	24546277	50.15307	0.013362999	0.9515555	881	0.30794057	50.26227
GTEX-PLZ5-1126-SM-3P613	1	B1	6  ~5-6mm pieces.  Areas of poor fixation.  Mucosa is ~ 10% specimen thickness	7.8	Colon	Colon - Transverse	0-3 hours	BP-19182	RNA isolation_PAXgene Tissue miRNA	10/03/2011	LCSET-2386	12/16/2012	TrueSeq.v1	0.8735923	123738	0.97048664	712	0.9028586	0.84675133	0.3214281	24881	0.67107916	0.79292303	76	42.631622	0.0032015254	290	56885552	93240463	0.028691577	1738076	103272492	13112538	0.61911553	138669	43864821	49672	0.027338633	0	0.12373526	0.6058896	0.76449674	62571731	0.0032705814	19676881	5182172	20002982	283	21118109	13579165	0.003234934	21182121	50.075657	0.01683	0.932125	884	0.32892084	50.410915
GTEX-PLZ5-1526-SM-3P5ZX	1	B1	2  ~ 8 .56mm pieces,  one with attached 7x4mm piece of fibrous tissue	6.6	Testis	Testis	0-3 hours	BP-19182	RNA isolation_PAXgene Tissue miRNA	10/03/2011	LCSET-2386	12/16/2012	TrueSeq.v1	0.8828898	171182	0.9502627	551	0.9109677	0.8261029	0.2800445	32784	0.76952314	0.7304438	76	84.2114	0.0030805517	298	107842150	108845354	0.04952012	2536628	119483216	15989252	0.6255002	157102	51300910	30404	0.015156289	0	0.12415982	0.7010107	0.7525531	83759015	0.0030786977	22236688	6886908	22516286	311	23743334	17409330	0.0030796533	23826840	50.08777	0.021229994	0.9390456	921	0.2304769	50.312374
GTEX-PLZ5-1626-SM-3NB21	1	B1	2  ~ 2.5x1mm nerve pieces; attached fat is  ~ 50% of each aliquot	6.2	Nerve	Nerve - Tibial	0-3 hours	BP-19182	RNA isolation_PAXgene Tissue miRNA	10/03/2011	LCSET-2318	12/16/2012	TrueSeq.v1	0.8862064	125853	0.9669312	743	0.90451527	0.81706333	0.3050121	25266	0.70176405	0.8493758	76	37.710613	0.003349608	230	60178318	86901297	0.03286875	921647	96074994	16481968	0.61953133	140052	41201101	49523	0.026927933	0	0.14986785	0.63475627	0.7390463	60984205	0.003417338	18212843	4061458	18500360	229	19018734	12406064	0.0033827878	19204522	50.24303	0.009592996	0.9228242	874	0.29823595	50.39157
GTEX-PLZ5-1726-SM-2I5F6	1	B1	2  ~ 9x4.5mm pieces.  Areas of underfixation, tears/holes.  ~ 10% interspersed fat	8	Muscle	Muscle - Skeletal	0-3 hours	BP-19182	RNA isolation_PAXgene Tissue miRNA	10/03/2011	LCSET-1168_5	02/25/2012	TrueSeq.v1	0.6069711	62862	0.9774046	1247	0.7095094	0.9154002	0.34021765	21050	0.55690897	0.74798054	76	28.715963	0.0036062577	178	30903826	73848619	0.022428924	2499266	104084066	21319888	0.66068876	123600	30931269	109035	0.06123718	10922954	0.062004384	0.39513212	0.649485	41126957	0.0063038603	12201292	3517832	12583275	148	13489387	13184262	0.004899121	13372552	49.782524	0.024011996	0.6567499	798	0.44309106	50.770607
GTEX-PLZ5-1726-SM-2M48L	1	B1	2  ~ 9x4.5mm pieces.  Areas of underfixation, tears/holes.  ~ 10% interspersed fat	8	Muscle	Muscle - Skeletal	0-3 hours	BP-19182	RNA isolation_PAXgene Tissue miRNA	10/03/2011	GTEx_Batch4Affy_Jan2012	02/07/2012	Affymetrix Expression																																													
GTEX-PLZ5-1826-SM-3NB22	1	B1	2  ~13x9mm pieces.  Well fixed	6.9	Adipose Tissue	Adipose - Subcutaneous	0-3 hours	BP-19181	RNA isolation_PAXgene Tissue miRNA	10/03/2011	LCSET-2318	12/16/2012	TrueSeq.v1	0.89226115	137653	0.97528607	683	0.90980244	0.85326815	0.30132583	24288	0.708964	0.76120424	76	64.62222	0.0032696787	238	67307616	93580170	0.024449935	838392	102857682	18497242	0.57834154	137365	44512233	47228	0.023616822	0	0.12201788	0.6450172	0.77630544	66344971	0.0033080936	19794552	4151066	20115426	249	20669350	16007967	0.0032885158	20797940	50.155052	0.008150991	0.9273438	890	0.291036	50.402
GTEX-PLZ5-2026-SM-2M48B	1	B1	6   ~7x2mm pieces;  squamous epithelium is ~  2-3% of specimen thickness	6.7	Skin	Skin - Sun Exposed (Lower leg)	0-3 hours	BP-19182	RNA isolation_PAXgene Tissue miRNA	10/03/2011	GTEx_Batch4Affy_Jan2012	02/07/2012	Affymetrix Expression																																													
GTEX-PLZ5-2026-SM-2S1O4	1	B1	6   ~7x2mm pieces;  squamous epithelium is ~  2-3% of specimen thickness	6.7	Skin	Skin - Sun Exposed (Lower leg)	0-3 hours	BP-19182	RNA isolation_Trizol Manual (Cell Pellet)	10/03/2011	LCSET-1464	06/08/2012	TrueSeq.v1	0.363737	48429	0.9670476	1277	0.3699602	0.82796043	0.27139297	21289	0.82366	0.74776185	76	17.794249	0.00518526	134	32811886	23517529	0.03280434	210917	63567726	22996422	0.6432639	126396	10995520	100328	0.05407223	0	0.1390872	0.30472142	0.30631238	19370449	0.004066459	4705525	1543438	4833699	112	4963252	3503881	0.0046352693	4906950	49.71479	0.0033179887	0.3761834	750	0.17633997	50.671825
GTEX-PLZ6-0003-SM-2IJGD		B1			Blood	Whole Blood	-4-(-7) hours	BP-18956	DNA isolation_Whole Blood _QIAGEN Puregene (Manual)	09/19/2011	GTExBatch3_SNP5M_Dec11	12/22/2011	Illumina OMNI SNP Array																																													
GTEX-PLZ6-0003-SM-2XK1U		B1			Blood	Whole Blood	-4-(-7) hours	BP-18956	DNA isolation_Whole Blood _QIAGEN Puregene (Manual)	09/19/2011	GTEx_96Exome_May12	06/06/2012	Illumina Human Exome SNP Array																																													
GTEX-PLZ6-0006-SM-2I5FQ		B1		7.6	Blood	Whole Blood	-4-(-7) hours	BP-18940	RNA isolation_PAXgene Blood RNA (Manual)	09/19/2011	LCSET-1168_6	04/02/2012	TrueSeq.v1	0.23488542	165382	0.95278466	1498	0.30204123	0.8820655	0.30667695	20087	0.3944862	0.69553196	76	19.21947	0.0040128473	116	13496207	62081466	0.047085535	2947850	205539699	70399955	0.68902117	115908	23385716	136062	0.074872516	9881511	0.070719205	0.11915109	0.26642016	24490280	0.008625373	10505615	20063927	10870299	115	15105344	14252775	0.0058574383	15269009	50.269413	0.014341999	0.33356616	740	0.6055138	50.853024
GTEX-PLZ6-0006-SM-2M48W		B1		7.6	Blood	Whole Blood	-4-(-7) hours	BP-18940	RNA isolation_PAXgene Blood RNA (Manual)	09/19/2011	GTEx_Batch4Affy_Jan2012	02/07/2012	Affymetrix Expression																																													
GTEX-PLZ6-0006-SM-33HBZ		B1		7.6	Blood	Whole Blood	-4-(-7) hours	BP-18940	RNA isolation_PAXgene Blood RNA (Manual)	09/19/2011	LCSET-1668	09/11/2012	TrueSeq.v1	0.8474537	103945	0.96143395	1452	0.8672833	0.87185025	0.35135433	19994	0.21112819	0.7982616	76	16.48636	0.002908372	233	12658575	120604723	0.038428403	3165569	139060356	16657428	0.6717874	115688	57265522	108303	0.06397922	0	0.0895837	0.18310796	0.7561412	25463055	0.005209012	25168853	15051860	26611300	254	27162096	24677354	0.0040323907	27082805	49.92691	0.022763994	0.887113	763	0.7888718	51.392857
GTEX-PLZ6-0226-SM-3P61I	1	B1	2, ~3x7mm adrenal cortex and medulla, well preserved. 3x0.6mm attached nerve in one	8.5	Adrenal Gland	Adrenal Gland	0-3 hours	BP-19254	RNA isolation_PAXgene Tissue miRNA	10/05/2011	LCSET-2386	12/16/2012	TrueSeq.v1	0.8870435	150254	0.97462225	557	0.9156054	0.87302136	0.30567017	25378	0.68904054	0.72286826	76	82.900314	0.0030026305	393	69866712	106074119	0.02512597	2409244	115851344	14957432	0.57144535	141742	50204259	29065	0.016116055	0	0.10160089	0.63088924	0.7993431	73089371	0.0030258356	22224963	6028285	22574576	343	23772975	17541258	0.0030138711	23873568	50.105556	0.020795995	0.94416744	910	0.31095943	50.390198
GTEX-PLZ6-0326-SM-3P61J	1	B1	6 pieces. 10x1.3mm. no fatty deposits. Sparse adherent stroma	7.2	Blood Vessel	Artery - Aorta	0-3 hours	BP-19254	RNA isolation_PAXgene Tissue miRNA	10/05/2011	LCSET-2386	12/16/2012	TrueSeq.v1	0.87971	116580	0.9696637	875	0.91057456	0.8457123	0.3024953	23986	0.74685377	0.7737138	76	42.955788	0.0029790907	241	80639086	90755167	0.030025894	816879	99668024	13114060	0.5906368	136285	42724630	59817	0.032434974	0	0.12395139	0.68006605	0.7700841	67780840	0.0030820179	18534568	3614664	18750201	231	19880509	16474629	0.00302881	20011426	50.16409	0.008195999	0.9414391	835	0.25314623	50.28917
GTEX-PLZ6-0426-SM-2I5FG	1	B1	2 ~10x7 & 8x7mm pieces.  Patchy bronchopneumonia	8.9	Lung	Lung	0-3 hours	BP-19254	RNA isolation_PAXgene Tissue miRNA	10/05/2011	LCSET-1168_5	02/25/2012	TrueSeq.v1	0.61541253	112000	0.97356707	880	0.72182465	0.86111814	0.29614183	25243	0.7356815	0.6847661	76	40.79519	0.003020514	172	84543724	79698835	0.02610416	591482	110413004	23440946	0.6091904	141287	33174615	64579	0.03465818	11628888	0.1124489	0.53103304	0.6215763	58632955	0.0058598453	14384761	6186710	14743556	153	15984474	15735421	0.004392327	15858888	49.802807	0.0053569954	0.67261946	843	0.26431856	50.615887
GTEX-PLZ6-0426-SM-2M48R	1	B1	2 ~10x7 & 8x7mm pieces.  Patchy bronchopneumonia	8.9	Lung	Lung	0-3 hours	BP-19254	RNA isolation_PAXgene Tissue miRNA	10/05/2011	GTEx_Batch4Affy_Jan2012	02/07/2012	Affymetrix Expression																																													
GTEX-PLZ6-0526-SM-3P61C	1	B1	6 pieces,~5 mm sq with well preserved epithelium (0.25 mm thick)	9.6	Esophagus	Esophagus - Mucosa	0-3 hours	BP-19254	RNA isolation_PAXgene Tissue miRNA	10/05/2011	LCSET-2386	12/16/2012	TrueSeq.v1	0.88830715	137339	0.9799457	876	0.91696906	0.8876672	0.3635407	23631	0.67188466	0.6787693	76	42.414207	0.0030525113	295	56917287	92874998	0.019870805	830332	101284772	13103386	0.6180128	135884	43923077	61760	0.03434582	0	0.092278525	0.61609745	0.81396335	62401288	0.0030838447	19356136	4404024	19678817	281	20707126	19301442	0.003067688	20835967	50.15507	0.008197995	0.94563097	877	0.3281153	50.413322
GTEX-PLZ6-0626-SM-3P61B	1	B1	5 pieces,  ~9x4.5 mm. well-oriented specimens.	8.5	Esophagus	Esophagus - Muscularis	0-3 hours	BP-19254	RNA isolation_PAXgene Tissue miRNA	10/05/2011	LCSET-2386	12/16/2012	TrueSeq.v1	0.8872808	119469	0.97535175	845	0.91649276	0.8744539	0.3855199	23476	0.6951161	0.65927774	76	46.5123	0.002904261	300	68415935	100498104	0.024391036	1230878	109655096	14214526	0.58059543	134801	47510494	55366	0.02906759	0	0.100897804	0.63706887	0.8014307	69857846	0.0029512793	20149820	4484469	20468003	325	21572830	17736886	0.002927021	21700255	50.147236	0.011224996	0.94570476	864	0.30488393	50.39168
GTEX-PLZ6-0726-SM-3P619	0	B1	2, ~ 10x8 mm pieces,<1%  fat; focal fixation fractures	6.8	Pancreas	Pancreas	0-3 hours	BP-19254	RNA isolation_PAXgene Tissue miRNA	10/05/2011	LCSET-2386	12/16/2012	TrueSeq.v1	0.83335257	110599	0.97733945	691	0.86077565	0.87102205	0.31508976	23532	0.4736639	0.6799433	76	55.73684	0.0034220323	255	28956469	100559899	0.022569295	695691	116824744	15199202	0.5642572	135302	47265001	40869	0.022773523	0	0.106317446	0.40771836	0.7497546	47631594	0.0034265656	21857173	9885833	22530284	217	23528088	28677723	0.0034242268	23763906	50.249325	0.005954997	0.8881988	858	0.52633613	50.75822
GTEX-PLZ6-0826-SM-3P61K	1	B1	6 pieces, ~7x4.5mm. Very good mucosal (0.87mm) preservation in 2 pieces; none in others	8.1	Stomach	Stomach	0-3 hours	BP-19254	RNA isolation_PAXgene Tissue miRNA	10/05/2011	LCSET-2386	12/16/2012	TrueSeq.v1	0.8850134	142257	0.9741183	629	0.9148633	0.8598905	0.33215746	24508	0.7327615	0.73278415	76	79.46804	0.0029512446	395	85069362	103375262	0.02565137	991194	112995316	14620254	0.564461	138659	48783235	40447	0.022664703	0	0.11422782	0.6703766	0.78668225	75749413	0.0030057123	21142978	4918017	21436342	341	22660598	18110015	0.0029775898	22771581	50.122135	0.008771992	0.9447132	882	0.26723847	50.34449
GTEX-PLZ6-0926-SM-3P5ZQ	1	B1	4 pieces,  7x2mm. Good mucosal preservation. Tissue separation with tears	7.7	Colon	Colon - Transverse	0-3 hours	BP-19256	RNA isolation_PAXgene Tissue miRNA	10/05/2011	LCSET-2386	12/16/2012	TrueSeq.v1	0.88322574	125484	0.97494596	632	0.9109135	0.8731112	0.31000337	25376	0.66533387	0.6888604	76	73.627716	0.0030629192	295	61532655	103679199	0.02434439	1899410	113818924	15444080	0.5994816	141657	48994529	40088	0.022288384	0	0.10183471	0.6060616	0.7953288	68981284	0.0030575953	21866515	5996640	22175709	324	23308105	15907364	0.0030603383	23456889	50.159077	0.016687999	0.9386012	899	0.33466613	50.351017
GTEX-PLZ6-1126-SM-3P5ZR	1	B1	2 ~10x10  & 9 x 6mm; focal atrophy	7.3	Prostate	Prostate	0-3 hours	BP-19256	RNA isolation_PAXgene Tissue miRNA	10/05/2011	LCSET-2386	12/16/2012	TrueSeq.v1	0.8794541	134124	0.9612634	746	0.9096996	0.7982343	0.31614923	26020	0.73223567	0.80978113	76	39.70205	0.003079766	234	70778055	87663545	0.038557306	1162359	96365378	12872142	0.6229548	142442	41261155	53783	0.02955571	0	0.16302918	0.6661145	0.72615343	64190376	0.0031576054	17983914	4938698	18207921	229	19261627	12296697	0.0031173918	19395525	50.173183	0.012061998	0.93994516	862	0.2677643	50.30947
GTEX-PLZ6-1226-SM-3P5ZS	1	B1	2 pieces ~10mm sq; >60% atrophic, sclerotic tubules; remainder with minimal spermatogenesis. Capsule partially present.	6.7	Testis	Testis	0-3 hours	BP-19256	RNA isolation_PAXgene Tissue miRNA	10/05/2011	LCSET-2386	12/16/2012	TrueSeq.v1	0.8817416	153726	0.95470923	659	0.9106373	0.7879557	0.31354287	31748	0.8078685	0.66725177	76	43.819725	0.0029790916	228	109231848	86848374	0.0450632	866063	95370986	12305648	0.6102999	156038	40873804	35973	0.017955536	0	0.16675349	0.73567516	0.7175419	70162067	0.0030117233	17776731	4894047	17972172	206	19012139	13882490	0.0029948899	19062745	50.066456	0.00908099	0.939533	898	0.19213147	50.27335
GTEX-PLZ6-1326-SM-3NB24	1	B1	2 pieces, 10.5x8 & 11.5x7 mm. No fixation artifacts. Adherent vessel, 1 x 3 mm	6.5	Adipose Tissue	Adipose - Subcutaneous	0-3 hours	BP-19254	RNA isolation_PAXgene Tissue miRNA	10/05/2011	LCSET-2318	12/16/2012	TrueSeq.v1	0.90125453	172916	0.97740144	766	0.9167248	0.8625061	0.35955256	24106	0.6743427	0.7256842	76	51.820248	0.0031938003	396	71496846	116476882	0.022365572	1177570	127057636	21433752	0.59809077	136044	55626802	52350	0.02755263	0	0.11489537	0.61818665	0.7906807	78545337	0.0031965382	24809151	5510004	25171603	388	25778077	19736334	0.0031951459	25906807	50.124535	0.009267999	0.93219507	891	0.32565728	50.3626
GTEX-PLZ6-1426-SM-2QU4V	1	B1	6  ~10x3.7 mm (maximum) pieces.  Fragmented dermis in 2 pieces (poor fixation)	7	Skin	Skin - Sun Exposed (Lower leg)	0-3 hours	BP-19256	RNA isolation_Trizol Manual (Cell Pellet)	10/05/2011	GTEX_AffyBatch5_March12	03/29/2012	Affymetrix Expression																																													
GTEX-PLZ6-1426-SM-2S1OQ	1	B1	6  ~10x3.7 mm (maximum) pieces.  Fragmented dermis in 2 pieces (poor fixation)	7	Skin	Skin - Sun Exposed (Lower leg)	0-3 hours	BP-19256	RNA isolation_Trizol Manual (Cell Pellet)	10/05/2011	LCSET-1464	06/08/2012	TrueSeq.v1	0.27918056	79914	0.9657974	1664	0.28724876	0.8275733	0.2837358	20899	0.8028722	0.73472136	76	11.488152	0.005270664	134	29754955	24080701	0.034029327	329292	83832218	32056980	0.67041683	125076	11145033	136034	0.06812249	0	0.13822414	0.23062404	0.2377194	19333723	0.0043699685	4747296	3290381	4883552	110	5134546	3839025	0.004832966	5064533	49.65677	0.003927989	0.295317	703	0.19712791	50.707394
GTEX-PLZ6-1526-SM-2QU3D	1	B1	2 pieces ~9x8 & 6x7 mm pieces, large areas (>50%) with tears in the larger piece, probable  poor fixation	7.9	Muscle	Muscle - Skeletal	4-7 hours	BP-19256	RNA isolation_Trizol Manual (Cell Pellet)	10/05/2011	GTEX_AffyBatch5_March12	03/29/2012	Affymetrix Expression																																													
GTEX-PLZ6-1526-SM-2S1OC	1	B1	2 pieces ~9x8 & 6x7 mm pieces, large areas (>50%) with tears in the larger piece, probable  poor fixation	7.9	Muscle	Muscle - Skeletal	4-7 hours	BP-19256	RNA isolation_Trizol Manual (Cell Pellet)	10/05/2011	LCSET-1464	06/08/2012	TrueSeq.v1	0.46505266	57832	0.97476625	1615	0.4762104	0.8978834	0.31416595	19209	0.74250066	0.703292	76	14.068169	0.0051992876	137	27752042	31873328	0.025038365	484113	66931194	24637104	0.67383224	117964	14913590	149029	0.082534045	0	0.07688278	0.35358652	0.4275814	23665969	0.004238183	6197528	2111733	6460603	109	6730267	6271322	0.004729995	6551323	49.326344	0.0072329952	0.48736808	711	0.25749928	51.039154
GTEX-PLZ6-1626-SM-3NB23	1	B1	2 pieces of 2 muscular arteries about 2mm in diameter; calcified deposits in intima; 10% adherent fat in one piece	7.3	Blood Vessel	Artery - Tibial	4-7 hours	BP-19256	RNA isolation_PAXgene Tissue miRNA	10/05/2011	LCSET-2318	12/16/2012	TrueSeq.v1	0.891558	125135	0.9725735	851	0.9089027	0.8499332	0.36020958	23295	0.67120355	0.71108145	76	41.630974	0.0031574306	298	60333550	99298494	0.027097682	795565	109250956	19699052	0.58629	133221	47148141	62844	0.033612546	0	0.12264032	0.6100587	0.7725066	66649506	0.0031856224	20521050	3540648	20834935	274	21426048	17907631	0.0031712574	21537133	50.129276	0.0072819954	0.9262475	837	0.3287964	50.379498
GTEX-PLZ6-1726-SM-2QU2Z	1	B1	2 pieces, ~4 mm fat/connective tissue <10% of total specimen	6.8	Nerve	Nerve - Tibial	4-7 hours	BP-19256	RNA isolation_Trizol Manual (Cell Pellet)	10/05/2011	GTEX_AffyBatch5_March12	03/29/2012	Affymetrix Expression																																													
GTEX-PLZ6-1726-SM-2S1O6	1	B1	2 pieces, ~4 mm fat/connective tissue <10% of total specimen	6.8	Nerve	Nerve - Tibial	4-7 hours	BP-19256	RNA isolation_Trizol Manual (Cell Pellet)	10/05/2011	LCSET-1464	06/08/2012	TrueSeq.v1	0.34630707	66769	0.96339697	1116	0.35523793	0.7960132	0.26648402	21726	0.86114615	0.74966127	76	20.669634	0.0050102836	132	54012048	26887723	0.036350455	293144	75689334	28472076	0.6084198	129115	12443409	83146	0.044231135	0	0.16738382	0.30591178	0.28277406	23154260	0.0040436303	5464133	2465422	5609618	108	5864612	4174075	0.004539108	5790940	49.683964	0.0038729894	0.3641688	793	0.13885382	50.65689
GTEX-POMQ-0003-SM-2H2X7		B1			Blood	Whole Blood	0-(-3) hours	BP-19072	DNA isolation_Whole Blood _QIAGEN Puregene (Manual)	09/26/2011	GTExBatch2_SNP5M_Nov11	12/14/2011	Illumina OMNI SNP Array																																													
GTEX-POMQ-0003-SM-2IJGF		B1			Blood	Whole Blood	0-(-3) hours	BP-19072	DNA isolation_Whole Blood _QIAGEN Puregene (Manual)	09/26/2011	GTExBatch3_SNP5M_Dec11	12/22/2011	Illumina OMNI SNP Array																																													
GTEX-POMQ-0003-SM-2XK11		B1			Blood	Whole Blood	0-(-3) hours	BP-19072	DNA isolation_Whole Blood _QIAGEN Puregene (Manual)	09/26/2011	GTEx_96Exome_May12	06/06/2012	Illumina Human Exome SNP Array																																													
GTEX-POMQ-0006-SM-2I5F4		B1		8.5	Blood	Whole Blood	0-(-3) hours	BP-19063	RNA isolation_PAXgene Blood RNA (Manual)	09/26/2011	LCSET-1168_5	04/02/2012	TrueSeq.v1	0.07615795	128742	0.9571891	1266	0.1612996	0.89701	0.29434878	20102	0.29043984	0.6194638	76	25.35955	0.0044216663	112	5166957	44393183	0.042686597	1897104	275221919	113655087	0.6180019	117474	10103853	103072	0.063399464	9352797	0.060179103	0.04684783	0.14468735	12893550	0.0068977494	4662811	20656552	4830240	115	14206051	10871254	0.0050266082	14341756	50.23768	0.0068929973	0.22899055	789	0.7095601	50.88185
GTEX-POMQ-0006-SM-2M48J		B1		8.5	Blood	Whole Blood	0-(-3) hours	BP-19063	RNA isolation_PAXgene Blood RNA (Manual)	09/26/2011	GTEx_Batch4Affy_Jan2012	02/07/2012	Affymetrix Expression																																													
GTEX-POMQ-0006-SM-33HBY		B1		8.5	Blood	Whole Blood	0-(-3) hours	BP-19063	RNA isolation_PAXgene Blood RNA (Manual)	09/26/2011	LCSET-1668	09/11/2012	TrueSeq.v1	0.4342413	37502	0.97280025	1557	0.4548753	0.9164162	0.28030136	20444	0.40224555	0.7169371	76	14.020212	0.0023392157	117	10340784	48077223	0.027106557	1063062	105693202	16536050	0.70331	122248	22386032	142667	0.082399316	0	0.056383997	0.18297157	0.4168551	19338850	0.0046129795	10417635	9401449	10642159	112	11426652	11810890	0.0034245267	11590051	50.354954	0.010057998	0.47550926	701	0.5977544	50.533062
GTEX-POMQ-0326-SM-2I5FO	1	B1	2 pieces, 7x5 & 7x8mm; includes papillary muscles	8.1	Heart	Heart - Left Ventricle	0-3 hours	BP-19350	RNA isolation_PAXgene Tissue miRNA	10/12/2011	LCSET-1168_6	02/25/2012	TrueSeq.v1	0.7201727	84518	0.9813821	831	0.8401177	0.9027041	0.31709358	23251	0.5118386	0.712096	76	42.34409	0.0041949055	292	41015095	118927268	0.01836579	3588552	141560238	28936862	0.60296476	133891	49983878	64123	0.033165272	15115578	0.078678	0.4300047	0.7583777	60871570	0.006787243	19315441	3466651	19817886	269	21087248	19943098	0.005429976	21063508	49.97184	0.025349999	0.7741446	840	0.48816136	50.641964
GTEX-POMQ-0326-SM-2M48U	1	B1	2 pieces, 7x5 & 7x8mm; includes papillary muscles	8.1	Heart	Heart - Left Ventricle	0-3 hours	BP-19350	RNA isolation_PAXgene Tissue miRNA	10/12/2011	GTEx_Batch4Affy_Jan2012	02/07/2012	Affymetrix Expression																																													
GTEX-POMQ-0426-SM-3P61G	1	B1	6 pieces, 10x1.3mm	8	Blood Vessel	Artery - Aorta	0-3 hours	BP-19350	RNA isolation_PAXgene Tissue miRNA	10/12/2011	LCSET-2386	12/16/2012	TrueSeq.v1	0.88452643	115946	0.97221774	805	0.9136883	0.87526655	0.35388935	24026	0.7772685	0.7150401	76	48.539062	0.0030554375	302	102376674	96109857	0.027398897	626715	105188888	13817322	0.6064731	137092	45357063	62720	0.033255886	0	0.09695114	0.7101812	0.7997208	74703169	0.003085677	19530191	3839412	19812669	286	20961533	19745173	0.0030700744	20971841	50.012287	0.0059579965	0.9428502	864	0.22273146	50.358994
GTEX-POMQ-0526-SM-2QU4T	1	B1	2 pieces, ~10x8 & 7x7mm; bronchopneumonia and alveolar desquamation	8.1	Lung	Lung	0-3 hours	BP-19350	RNA isolation_Trizol Manual (Cell Pellet)	10/12/2011	GTEX_AffyBatch5_March12	03/29/2012	Affymetrix Expression																																													
GTEX-POMQ-0526-SM-3GADD	1	B1	2 pieces, ~10x8 & 7x7mm; bronchopneumonia and alveolar desquamation	8.1	Lung	Lung	0-3 hours	BP-19350	RNA isolation_PAXgene Tissue miRNA	10/12/2011	LCSET-2014	09/08/2012	TrueSeq.v1	0.8424954	111083	0.9711334	972	0.8687175	0.8363544	0.29080993	24800	0.5640691	0.8498561	76	30.330765	0.0025776224	198	32305434	81381358	0.028566603	783444	93679892	13363656	0.63699585	139377	38411898	78274	0.0431975	0	0.13477905	0.49001673	0.7265557	45904712	0.005756654	16866471	3639965	17410487	190	18257554	14312023	0.0041191587	18156173	49.860786	0.008362991	0.89493966	802	0.43593088	50.79356
